DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,CD_CARGO,DS_CARGO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCOES,QT_VOTOS_NOMINAIS,QT_VOTOS_BRANCOS,QT_VOTOS_NULOS,QT_VOTOS_LEGENDA,QT_VOTOS_ANULADOS_APU_SEP,NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,DS_LOCAL_VOTACAO_ENDERECO
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,174,11,Prefeito,336,213,123,192,11,10,0,0,2011,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,213,13,Vereador,341,255,86,233,8,5,9,0,2011,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,213,11,Prefeito,341,255,86,229,14,12,0,0,2011,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,103,13,Vereador,487,363,124,314,15,13,21,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,103,11,Prefeito,487,363,124,327,16,20,0,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,226,13,Vereador,374,289,85,250,11,18,10,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,226,11,Prefeito,374,289,85,256,13,20,0,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,82,13,Vereador,487,353,134,303,14,16,20,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,82,11,Prefeito,487,353,134,315,17,21,0,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,179,13,Vereador,366,266,100,225,19,12,10,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,179,11,Prefeito,366,266,100,240,15,11,0,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,208,11,Prefeito,392,275,117,227,16,32,0,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,208,13,Vereador,392,275,117,223,20,26,6,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,123,11,Prefeito,368,246,122,213,9,24,0,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,123,13,Vereador,368,246,122,209,9,14,14,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,91,11,Prefeito,486,362,124,329,13,20,0,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,91,13,Vereador,486,362,124,308,14,9,31,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,153,13,Vereador,369,277,92,229,14,15,19,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,153,11,Prefeito,369,277,92,240,16,21,0,0,2020,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,161,11,Prefeito,449,301,148,255,27,19,0,0,2100,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,161,13,Vereador,449,301,148,260,20,10,11,0,2100,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,199,11,Prefeito,348,252,96,216,18,18,0,0,2100,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,199,13,Vereador,348,252,96,216,11,11,14,0,2100,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,134,11,Prefeito,447,296,151,255,26,15,0,0,2100,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,134,13,Vereador,447,296,151,258,19,9,10,0,2100,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,162,13,Vereador,389,324,65,291,9,6,18,0,2186,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,162,11,Prefeito,389,324,65,297,16,11,0,0,2186,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,211,11,Prefeito,396,318,78,283,21,14,0,0,2186,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,211,13,Vereador,396,318,78,280,8,10,20,0,2186,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,189,11,Prefeito,390,302,88,271,21,10,0,0,2186,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,189,13,Vereador,390,302,88,254,18,7,23,0,2186,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,63,11,Prefeito,334,254,80,224,11,19,0,0,1066,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,63,13,Vereador,334,254,80,215,10,15,14,0,1066,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,51,13,Vereador,496,328,168,275,17,17,19,0,1066,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,51,11,Prefeito,496,328,168,285,18,25,0,0,1066,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,54,11,Prefeito,333,226,107,195,12,19,0,0,1066,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,54,13,Vereador,333,226,107,190,11,14,11,0,1066,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,52,11,Prefeito,496,329,167,296,16,17,0,0,1066,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,52,13,Vereador,496,329,167,289,12,16,12,0,1066,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,74,11,Prefeito,334,237,97,220,8,9,0,0,1066,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,74,13,Vereador,334,237,97,206,12,5,14,0,1066,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,98,13,Vereador,333,222,111,194,7,8,13,0,1066,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,98,11,Prefeito,333,222,111,202,6,14,0,0,1066,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,53,13,Vereador,330,229,101,203,5,10,11,0,1066,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,53,11,Prefeito,330,229,101,208,10,11,0,0,1066,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,150,13,Vereador,454,303,151,279,6,9,9,0,2062,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,150,11,Prefeito,454,303,151,281,9,13,0,0,2062,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,173,11,Prefeito,452,311,141,280,19,12,0,0,2062,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,173,13,Vereador,452,311,141,287,11,7,6,0,2062,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,207,13,Vereador,306,219,87,202,7,4,6,0,2062,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,207,11,Prefeito,306,219,87,201,13,5,0,0,2062,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,110,13,Vereador,304,213,91,195,6,10,2,0,2062,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,110,11,Prefeito,304,213,91,193,6,14,0,0,2062,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,125,13,Vereador,298,203,95,181,8,8,6,0,2062,#NE,#NE
